"testdate","totaltests","positivetests","avgtestcost","avgprocessingtime","positivity_rate"
"2023-03-17","11","2","558.41","61.00","18.181818181818183"
"2023-03-18","12","2","512.46","46.92","16.666666666666664"
"2023-03-19","10","2","429.89","67.50","20"
"2023-03-20","10","4","627.60","67.80","40"
"2023-03-21","16","4","394.99","54.50","25"
"2023-03-22","13","4","572.08","51.85","30.76923076923077"
"2023-03-23","11","3","593.18","74.36","27.27272727272727"
"2023-03-24","16","1","480.14","74.13","6.25"
"2023-03-25","15","4","578.43","38.73","26.666666666666668"
"2023-03-26","12","4","512.25","66.08","33.33333333333333"
"2023-03-27","17","4","446.57","67.24","23.52941176470588"
"2023-03-28","15","5","616.22","64.07","33.33333333333333"
"2023-03-29","6","1","392.56","49.67","16.666666666666664"
"2023-03-30","8","1","414.53","58.38","12.5"
"2023-03-31","9","2","475.90","54.89","22.22222222222222"
"2023-04-01","13","4","543.77","62.54","30.76923076923077"
"2023-04-02","15","1","435.30","53.07","6.666666666666667"
"2023-04-03","13","3","539.64","52.31","23.076923076923077"
"2023-04-04","14","5","509.33","43.79","35.714285714285715"
"2023-04-05","18","4","462.57","51.61","22.22222222222222"
"2023-04-06","7","2","486.15","63.57","28.57142857142857"
"2023-04-07","18","1","541.57","51.78","5.555555555555555"
"2023-04-08","13","2","484.42","86.15","15.384615384615385"
"2023-04-09","15","2","382.02","65.00","13.333333333333334"
"2023-04-10","12","4","424.99","37.50","33.33333333333333"
"2023-04-11","14","2","522.72","54.07","14.285714285714285"
"2023-04-12","23","5","461.70","59.09","21.73913043478261"
"2023-04-13","16","4","538.82","45.81","25"
"2023-04-14","10","2","575.10","75.40","20"
"2023-04-15","9","1","592.55","67.67","11.11111111111111"
"2023-04-16","14","3","590.93","61.21","21.428571428571427"
"2023-04-17","13","5","430.29","71.15","38.46153846153847"
"2023-04-18","18","1","409.96","56.44","5.555555555555555"
"2023-04-19","14","0","451.68","74.14","0"
"2023-04-20","15","4","452.50","65.33","26.666666666666668"
"2023-04-21","18","6","508.58","50.83","33.33333333333333"
"2023-04-22","15","2","597.58","56.87","13.333333333333334"
"2023-04-23","8","1","391.28","47.38","12.5"
"2023-04-24","12","3","514.43","58.75","25"
"2023-04-25","20","1","659.48","62.45","5"
"2023-04-26","20","4","512.25","64.50","20"
"2023-04-27","19","5","671.00","56.47","26.31578947368421"
"2023-04-28","18","4","477.16","57.22","22.22222222222222"
"2023-04-29","14","5","478.81","84.14","35.714285714285715"
"2023-04-30","18","5","566.64","70.06","27.77777777777778"
"2023-05-01","7","3","527.57","51.43","42.857142857142854"
"2023-05-02","17","6","534.56","70.18","35.294117647058826"
"2023-05-03","19","1","553.04","61.42","5.263157894736842"
"2023-05-04","9","2","409.27","73.00","22.22222222222222"
"2023-05-05","13","1","378.82","59.23","7.6923076923076925"
"2023-05-06","16","4","446.41","58.56","25"
"2023-05-07","14","3","538.34","39.29","21.428571428571427"
"2023-05-08","13","6","501.00","68.85","46.15384615384615"
"2023-05-09","11","1","347.96","74.27","9.090909090909092"
"2023-05-10","10","2","599.71","59.00","20"
"2023-05-11","7","1","502.29","51.00","14.285714285714285"
"2023-05-12","15","1","496.89","56.40","6.666666666666667"
"2023-05-13","14","4","571.83","37.93","28.57142857142857"
"2023-05-14","15","2","550.68","55.40","13.333333333333334"
"2023-05-15","11","3","626.96","60.45","27.27272727272727"
"2023-05-16","15","4","449.14","53.33","26.666666666666668"
"2023-05-17","11","1","543.19","57.09","9.090909090909092"
"2023-05-18","13","5","470.57","64.00","38.46153846153847"
"2023-05-19","10","4","381.79","50.00","40"
"2023-05-20","8","4","334.32","67.88","50"
"2023-05-21","10","3","416.98","65.50","30"
"2023-05-22","16","1","490.79","67.94","6.25"
"2023-05-23","6","3","323.79","73.33","50"
"2023-05-24","15","2","460.37","61.80","13.333333333333334"
"2023-05-25","10","1","491.90","54.00","10"
"2023-05-26","16","4","542.98","54.25","25"
"2023-05-27","14","1","390.51","60.93","7.142857142857142"
"2023-05-28","18","3","564.28","61.17","16.666666666666664"
"2023-05-29","15","2","608.17","54.73","13.333333333333334"
"2023-05-30","20","2","611.85","61.15","10"
"2023-05-31","12","2","451.38","61.17","16.666666666666664"
"2023-06-01","17","4","451.93","51.00","23.52941176470588"
"2023-06-02","19","2","537.99","59.05","10.526315789473683"
"2023-06-03","15","5","567.58","57.80","33.33333333333333"
"2023-06-04","13","4","551.87","72.38","30.76923076923077"
"2023-06-05","15","3","500.27","60.93","20"
"2023-06-06","15","5","520.04","45.27","33.33333333333333"
"2023-06-07","20","3","441.86","65.70","15"
"2023-06-08","9","1","399.46","52.89","11.11111111111111"
"2023-06-09","13","4","537.10","52.23","30.76923076923077"
"2023-06-10","9","2","547.95","69.33","22.22222222222222"
"2023-06-11","13","3","396.86","58.15","23.076923076923077"
"2023-06-12","18","4","438.22","55.89","22.22222222222222"
"2023-06-13","7","1","387.29","64.00","14.285714285714285"
"2023-06-14","23","4","626.46","60.91","17.391304347826086"
"2023-06-15","15","1","408.34","61.87","6.666666666666667"
"2023-06-16","12","2","483.18","52.42","16.666666666666664"
"2023-06-17","9","0","531.72","81.22","0"
"2023-06-18","17","3","627.32","56.59","17.647058823529413"
"2023-06-19","15","3","539.44","49.13","20"
"2023-06-20","13","3","558.60","71.92","23.076923076923077"
"2023-06-21","13","1","506.32","75.08","7.6923076923076925"
"2023-06-22","6","1","458.38","52.67","16.666666666666664"
"2023-06-23","17","3","469.14","52.53","17.647058823529413"
"2023-06-24","9","1","506.38","48.22","11.11111111111111"
"2023-06-25","16","2","468.95","58.63","12.5"
"2023-06-26","17","5","509.06","53.41","29.411764705882355"
"2023-06-27","20","7","561.17","63.10","35"
"2023-06-28","19","5","377.94","52.84","26.31578947368421"
"2023-06-29","20","4","451.53","49.20","20"
"2023-06-30","6","1","638.03","57.50","16.666666666666664"
"2023-07-01","17","2","500.19","52.47","11.76470588235294"
"2023-07-02","16","3","510.95","62.63","18.75"
"2023-07-03","17","5","655.68","42.06","29.411764705882355"
"2023-07-04","17","3","377.98","48.12","17.647058823529413"
"2023-07-05","16","4","482.24","69.56","25"
"2023-07-06","14","4","357.25","50.71","28.57142857142857"
"2023-07-07","18","5","579.58","62.83","27.77777777777778"
"2023-07-08","12","0","470.90","56.92","0"
"2023-07-09","13","3","466.20","57.08","23.076923076923077"
"2023-07-10","16","2","503.45","65.25","12.5"
"2023-07-11","11","1","537.71","53.18","9.090909090909092"
"2023-07-12","15","6","548.13","43.13","40"
"2023-07-13","10","2","488.50","63.30","20"
"2023-07-14","24","7","567.72","43.83","29.166666666666668"
"2023-07-15","12","1","528.00","50.17","8.333333333333332"
"2023-07-16","12","2","626.93","68.00","16.666666666666664"
"2023-07-17","16","1","463.80","67.25","6.25"
"2023-07-18","9","0","433.95","76.78","0"
"2023-07-19","18","6","538.41","53.83","33.33333333333333"
"2023-07-20","13","1","403.19","65.85","7.6923076923076925"
"2023-07-21","17","2","538.01","55.24","11.76470588235294"
"2023-07-22","12","2","435.47","68.58","16.666666666666664"
"2023-07-23","6","0","437.62","43.50","0"
"2023-07-24","13","2","592.09","66.46","15.384615384615385"
"2023-07-25","13","3","549.37","64.92","23.076923076923077"
"2023-07-26","14","5","382.02","69.79","35.714285714285715"
"2023-07-27","10","2","513.96","54.60","20"
"2023-07-28","10","1","375.76","79.40","10"
"2023-07-29","11","3","538.84","41.55","27.27272727272727"
"2023-07-30","7","3","446.78","75.14","42.857142857142854"
"2023-07-31","17","4","520.53","46.59","23.52941176470588"
"2023-08-01","14","2","552.83","51.64","14.285714285714285"
"2023-08-02","12","3","515.00","70.58","25"
"2023-08-03","13","3","572.81","79.08","23.076923076923077"
"2023-08-04","14","3","436.29","64.93","21.428571428571427"
"2023-08-05","12","2","446.06","71.00","16.666666666666664"
"2023-08-06","16","4","563.70","71.44","25"
"2023-08-07","15","2","423.63","60.00","13.333333333333334"
"2023-08-08","18","4","637.41","57.22","22.22222222222222"
"2023-08-09","10","3","413.57","50.10","30"
"2023-08-10","14","1","457.44","62.36","7.142857142857142"
"2023-08-11","11","2","447.00","56.91","18.181818181818183"
"2023-08-12","17","6","373.61","59.12","35.294117647058826"
"2023-08-13","7","1","719.91","101.71","14.285714285714285"
"2023-08-14","8","1","481.11","57.25","12.5"
"2023-08-15","10","2","359.70","72.70","20"
"2023-08-16","14","3","450.73","54.93","21.428571428571427"
"2023-08-17","9","2","785.95","53.78","22.22222222222222"
"2023-08-18","13","2","546.94","58.00","15.384615384615385"
"2023-08-19","16","0","645.03","58.38","0"
"2023-08-20","13","2","616.79","53.46","15.384615384615385"
"2023-08-21","12","4","527.37","67.25","33.33333333333333"
"2023-08-22","11","3","445.27","33.45","27.27272727272727"
"2023-08-23","8","4","615.14","65.75","50"
"2023-08-24","10","2","237.49","55.50","20"
"2023-08-25","11","3","633.52","60.00","27.27272727272727"
"2023-08-26","12","4","345.07","55.92","33.33333333333333"
"2023-08-27","17","2","467.71","46.71","11.76470588235294"
"2023-08-28","16","2","481.70","65.00","12.5"
"2023-08-29","13","3","535.66","51.85","23.076923076923077"
"2023-08-30","10","2","551.65","64.30","20"
"2023-08-31","10","3","545.71","45.20","30"
"2023-09-01","11","3","464.37","35.73","27.27272727272727"
"2023-09-02","9","1","472.47","69.56","11.11111111111111"
"2023-09-03","12","2","532.03","62.33","16.666666666666664"
"2023-09-04","12","2","480.03","76.75","16.666666666666664"
"2023-09-05","16","1","497.57","58.56","6.25"
"2023-09-06","8","3","509.96","50.25","37.5"
"2023-09-07","10","3","667.46","47.70","30"
"2023-09-08","13","3","518.25","59.69","23.076923076923077"
"2023-09-09","16","0","561.00","58.69","0"
"2023-09-10","11","3","389.76","63.55","27.27272727272727"
"2023-09-11","21","4","447.10","64.05","19.047619047619047"
"2023-09-12","10","3","511.53","59.50","30"
"2023-09-13","15","4","531.31","76.93","26.666666666666668"
"2023-09-14","8","0","523.39","58.38","0"
"2023-09-15","9","1","364.15","80.11","11.11111111111111"
"2023-09-16","10","4","537.85","50.70","40"
"2023-09-17","9","1","464.09","49.11","11.11111111111111"
"2023-09-18","15","2","369.48","46.07","13.333333333333334"
"2023-09-19","18","3","511.73","65.17","16.666666666666664"
"2023-09-20","19","6","469.09","81.26","31.57894736842105"
"2023-09-21","17","2","547.07","49.94","11.76470588235294"
"2023-09-22","7","1","464.36","77.14","14.285714285714285"
"2023-09-23","9","4","604.11","72.00","44.44444444444444"
"2023-09-24","20","1","442.97","61.55","5"
"2023-09-25","9","1","593.40","72.00","11.11111111111111"
"2023-09-26","15","5","561.39","51.13","33.33333333333333"
"2023-09-27","16","4","569.98","62.56","25"
"2023-09-28","12","2","442.42","60.75","16.666666666666664"
"2023-09-29","14","2","569.64","51.93","14.285714285714285"
"2023-09-30","24","4","467.33","52.92","16.666666666666664"
"2023-10-01","8","1","604.33","70.38","12.5"
"2023-10-02","19","2","517.20","50.11","10.526315789473683"
"2023-10-03","13","6","322.80","57.23","46.15384615384615"
"2023-10-04","11","1","533.71","61.27","9.090909090909092"
"2023-10-05","13","3","454.51","54.85","23.076923076923077"
"2023-10-06","17","3","410.81","54.29","17.647058823529413"
"2023-10-07","13","1","495.33","57.23","7.6923076923076925"
"2023-10-08","10","1","576.62","70.90","10"
"2023-10-09","13","1","439.02","74.46","7.6923076923076925"
"2023-10-10","15","3","638.85","69.47","20"
"2023-10-11","15","2","518.10","57.60","13.333333333333334"
"2023-10-12","7","2","769.30","69.71","28.57142857142857"
"2023-10-13","12","2","584.96","56.83","16.666666666666664"
"2023-10-14","14","2","484.24","58.71","14.285714285714285"
"2023-10-15","18","3","392.02","51.11","16.666666666666664"
"2023-10-16","7","0","631.29","59.86","0"
"2023-10-17","13","3","703.95","60.69","23.076923076923077"
"2023-10-18","18","6","516.96","57.17","33.33333333333333"
"2023-10-19","3","0","550.70","83.33","0"
"2023-10-20","9","1","521.35","68.33","11.11111111111111"
"2023-10-21","13","4","422.75","74.62","30.76923076923077"
"2023-10-22","15","1","373.07","47.80","6.666666666666667"
"2023-10-23","16","3","475.91","60.63","18.75"
"2023-10-24","10","2","520.60","58.40","20"
"2023-10-25","14","4","567.95","76.07","28.57142857142857"
"2023-10-26","13","2","454.25","47.00","15.384615384615385"
"2023-10-27","11","3","492.32","43.18","27.27272727272727"
"2023-10-28","15","3","470.33","52.40","20"
"2023-10-29","14","2","483.98","61.36","14.285714285714285"
"2023-10-30","14","3","484.94","58.93","21.428571428571427"
"2023-10-31","12","2","433.04","59.33","16.666666666666664"
"2023-11-01","16","7","558.35","64.56","43.75"
"2023-11-02","14","1","473.70","67.93","7.142857142857142"
"2023-11-03","17","6","444.88","62.24","35.294117647058826"
"2023-11-04","12","3","440.31","42.08","25"
"2023-11-05","20","2","580.88","58.65","10"
"2023-11-06","12","2","473.73","77.92","16.666666666666664"
"2023-11-07","8","1","761.24","37.13","12.5"
"2023-11-08","22","3","568.51","64.64","13.636363636363635"
"2023-11-09","24","2","416.21","53.29","8.333333333333332"
"2023-11-10","15","4","513.52","60.33","26.666666666666668"
"2023-11-11","17","3","530.79","58.12","17.647058823529413"
"2023-11-12","15","3","511.91","72.33","20"
"2023-11-13","10","1","340.27","45.30","10"
"2023-11-14","14","3","379.88","69.21","21.428571428571427"
"2023-11-15","14","6","538.34","66.29","42.857142857142854"
"2023-11-16","12","1","541.43","58.08","8.333333333333332"
"2023-11-17","11","3","340.08","59.36","27.27272727272727"
"2023-11-18","20","1","555.05","49.85","5"
"2023-11-19","12","3","422.33","52.25","25"
"2023-11-20","17","3","545.88","61.88","17.647058823529413"
"2023-11-21","17","4","420.68","51.18","23.52941176470588"
"2023-11-22","10","1","581.65","72.90","10"
"2023-11-23","20","7","470.22","61.15","35"
"2023-11-24","12","2","578.80","64.92","16.666666666666664"
"2023-11-25","10","3","471.87","78.40","30"
"2023-11-26","10","2","450.35","55.10","20"
"2023-11-27","18","3","479.04","59.61","16.666666666666664"
"2023-11-28","15","2","512.93","46.47","13.333333333333334"
"2023-11-29","17","4","478.67","57.88","23.52941176470588"
"2023-11-30","9","0","389.60","72.67","0"
"2023-12-01","15","1","608.49","61.27","6.666666666666667"
"2023-12-02","17","5","534.87","67.00","29.411764705882355"
"2023-12-03","16","3","429.34","71.94","18.75"
"2023-12-04","16","1","648.26","68.94","6.25"
"2023-12-05","9","1","518.44","57.33","11.11111111111111"
"2023-12-06","12","2","450.86","64.58","16.666666666666664"
"2023-12-07","13","3","446.55","69.46","23.076923076923077"
"2023-12-08","14","1","595.86","53.50","7.142857142857142"
"2023-12-09","16","6","486.82","66.88","37.5"
"2023-12-10","21","2","511.17","52.62","9.523809523809524"
"2023-12-11","12","0","463.25","59.58","0"
"2023-12-12","18","4","455.38","59.67","22.22222222222222"
"2023-12-13","11","3","354.59","62.00","27.27272727272727"
"2023-12-14","16","2","524.20","43.81","12.5"
"2023-12-15","12","3","575.68","57.50","25"
"2023-12-16","17","5","428.35","68.65","29.411764705882355"
"2023-12-17","13","3","498.90","52.00","23.076923076923077"
"2023-12-18","15","4","458.49","54.47","26.666666666666668"
"2023-12-19","14","2","630.12","50.21","14.285714285714285"
"2023-12-20","19","5","434.01","58.47","26.31578947368421"
"2023-12-21","12","4","428.67","66.50","33.33333333333333"
"2023-12-22","13","2","522.98","79.08","15.384615384615385"
"2023-12-23","19","6","488.05","68.32","31.57894736842105"
"2023-12-24","18","2","436.23","51.06","11.11111111111111"
"2023-12-25","17","3","596.48","56.65","17.647058823529413"
"2023-12-26","17","4","423.93","50.88","23.52941176470588"
"2023-12-27","19","3","475.57","71.11","15.789473684210526"
"2023-12-28","17","4","440.55","69.53","23.52941176470588"
"2023-12-29","19","2","427.44","50.16","10.526315789473683"
"2023-12-30","14","3","575.83","63.71","21.428571428571427"
"2023-12-31","16","3","496.54","52.38","18.75"
