"testdate","totaltests"
"2023-07-23","6"
"2023-07-24","13"
"2023-07-25","13"
"2023-07-26","14"
"2023-07-27","10"
"2023-07-28","10"
"2023-07-29","11"
"2023-07-30","7"
"2023-07-31","17"
"2023-08-01","14"
"2023-08-02","12"
"2023-08-03","13"
"2023-08-04","14"
"2023-08-05","12"
"2023-08-06","16"
"2023-08-07","15"
"2023-08-08","18"
"2023-08-09","10"
"2023-08-10","14"
"2023-08-11","11"
"2023-08-12","17"
"2023-08-13","7"
"2023-08-14","8"
"2023-08-15","10"
"2023-08-16","14"
"2023-08-17","9"
"2023-08-18","13"
"2023-08-19","16"
"2023-08-20","13"
"2023-08-21","12"
"2023-08-22","11"
"2023-08-23","8"
"2023-08-24","10"
"2023-08-25","11"
"2023-08-26","12"
"2023-08-27","17"
"2023-08-28","16"
"2023-08-29","13"
"2023-08-30","10"
"2023-08-31","10"
"2023-09-01","11"
"2023-09-02","9"
"2023-09-03","12"
"2023-09-04","12"
"2023-09-05","16"
"2023-09-06","8"
"2023-09-07","10"
"2023-09-08","13"
"2023-09-09","16"
"2023-09-10","11"
"2023-09-11","21"
"2023-09-12","10"
"2023-09-13","15"
"2023-09-14","8"
"2023-09-15","9"
"2023-09-16","10"
"2023-09-17","9"
"2023-09-18","15"
"2023-09-19","18"
"2023-09-20","19"
"2023-09-21","17"
"2023-09-22","7"
"2023-09-23","9"
"2023-09-24","20"
"2023-09-25","9"
"2023-09-26","15"
"2023-09-27","16"
"2023-09-28","12"
"2023-09-29","14"
"2023-09-30","24"
"2023-10-01","8"
"2023-10-02","19"
"2023-10-03","13"
"2023-10-04","11"
"2023-10-05","13"
"2023-10-06","17"
"2023-10-07","13"
"2023-10-08","10"
"2023-10-09","13"
"2023-10-10","15"
"2023-10-11","15"
"2023-10-12","7"
"2023-10-13","12"
"2023-10-14","14"
"2023-10-15","18"
"2023-10-16","7"
"2023-10-17","13"
"2023-10-18","18"
"2023-10-19","3"
"2023-10-20","9"
"2023-10-21","13"
"2023-10-22","15"
"2023-10-23","16"
"2023-10-24","10"
"2023-10-25","14"
"2023-10-26","13"
"2023-10-27","11"
"2023-10-28","15"
"2023-10-29","14"
"2023-10-30","14"
"2023-10-31","12"
"2023-11-01","16"
"2023-11-02","14"
"2023-11-03","17"
"2023-11-04","12"
"2023-11-05","20"
"2023-11-06","12"
"2023-11-07","8"
"2023-11-08","22"
"2023-11-09","24"
"2023-11-10","15"
"2023-11-11","17"
"2023-11-12","15"
"2023-11-13","10"
"2023-11-14","14"
"2023-11-15","14"
"2023-11-16","12"
"2023-11-17","11"
"2023-11-18","20"
"2023-11-19","12"
"2023-11-20","17"
"2023-11-21","17"
"2023-11-22","10"
"2023-11-23","20"
"2023-11-24","12"
"2023-11-25","10"
"2023-11-26","10"
"2023-11-27","18"
"2023-11-28","15"
"2023-11-29","17"
"2023-11-30","9"
"2023-12-01","15"
"2023-12-02","17"
"2023-12-03","16"
"2023-12-04","16"
"2023-12-05","9"
"2023-12-06","12"
"2023-12-07","13"
"2023-12-08","14"
"2023-12-09","16"
"2023-12-10","21"
"2023-12-11","12"
"2023-12-12","18"
"2023-12-13","11"
"2023-12-14","16"
"2023-12-15","12"
"2023-12-16","17"
"2023-12-17","13"
"2023-12-18","15"
"2023-12-19","14"
"2023-12-20","19"
"2023-12-21","12"
"2023-12-22","13"
"2023-12-23","19"
"2023-12-24","18"
"2023-12-25","17"
"2023-12-26","17"
"2023-12-27","19"
"2023-12-28","17"
"2023-12-29","19"
"2023-12-30","14"
"2023-12-31","16"
